Ligament,http://www.webmd.com/hw-popup/ligament,"[False, 'NA']"
Osteoarthritis,http://www.webmd.com/hw-popup/osteoarthritis,"[False, 'NA']"
Electrolytes and Electrolyte Imbalances,http://www.webmd.com/hw-popup/electrolytes-and-electrolyte-imbalances,"[False, 'NA']"
Depression,http://www.webmd.com/hw-popup/depression,"[False, 'NA']"
HIV (Human Immunodeficiency Virus),http://www.webmd.com/hw-popup/hiv-human-immunodeficiency-virus,"[False, 'NA']"
Addiction,http://www.webmd.com/hw-popup/addiction,"[False, 'NA']"
"Exercise, Workout, and Fitness Center: Yoga, Cardio, Strength Training, and More",http://www.webmd.com/fitness-exercise/default.htm,"[False, 'NA']"
Fungal Infection,http://www.webmd.com/hw-popup/fungal-infection,"[False, 'NA']"
Virus,http://www.webmd.com/hw-popup/virus,"[False, 'NA']"
Immunity,http://www.webmd.com/hw-popup/immunity,"[False, 'NA']"
Ligament,http://www.webmd.com/hw-popup/ligament,"[False, 'NA']"
Osteoarthritis,http://www.webmd.com/hw-popup/osteoarthritis,"[False, 'NA']"
Electrolytes and Electrolyte Imbalances,http://www.webmd.com/hw-popup/electrolytes-and-electrolyte-imbalances,"[False, 'NA']"
Depression,http://www.webmd.com/hw-popup/depression,"[False, 'NA']"
HIV (Human Immunodeficiency Virus),http://www.webmd.com/hw-popup/hiv-human-immunodeficiency-virus,"[False, 'NA']"
Addiction,http://www.webmd.com/hw-popup/addiction,"[False, 'NA']"
"Exercise, Workout, and Fitness Center: Yoga, Cardio, Strength Training, and More",http://www.webmd.com/fitness-exercise/default.htm,"[False, 'NA']"
Fungal Infection,http://www.webmd.com/hw-popup/fungal-infection,"[False, 'NA']"
Virus,http://www.webmd.com/hw-popup/virus,"[False, 'NA']"
Immunity,http://www.webmd.com/hw-popup/immunity,"[False, 'NA']"
Bulimia Nervosa,http://www.webmd.com/hw-popup/bulimia-nervosa,"[False, 'NA']"
Gallbladder,http://www.webmd.com/hw-popup/gallbladder,"[False, 'NA']"
Plantar Fasciitis,http://www.webmd.com/hw-popup/plantar-fasciitis,"[False, 'NA']"
Heel Spurs,http://www.webmd.com/hw-popup/heel-spurs,"[False, 'NA']"
Pump Bump (Haglund's Deformity),http://www.webmd.com/hw-popup/pump-bump-haglunds-deformity,"[False, 'NA']"
Rotator Cuff,http://www.webmd.com/hw-popup/rotator-cuff,"[False, 'NA']"
Rotator Cuff Disorders,http://www.webmd.com/hw-popup/rotator-cuff-disorders,"[False, 'NA']"
Sprain,http://www.webmd.com/hw-popup/sprain,"[False, 'NA']"
Fracture,http://www.webmd.com/hw-popup/fracture,"[False, 'NA']"
Blood Clot in a Vein,http://www.webmd.com/hw-popup/blood-clot-in-a-vein,"[False, 'NA']"
Eating Disorders,http://www.webmd.com/hw-popup/eating-disorders,"[False, 'NA']"
Tooth Enamel,http://www.webmd.com/hw-popup/tooth-enamel,"[False, 'NA']"
Osteoporosis,http://www.webmd.com/hw-popup/osteoporosis-menopause,"[False, 'NA']"
Smoke Inhalation,http://www.webmd.com/hw-popup/smoke-inhalation,"[False, 'NA']"
Carbon Monoxide Poisoning,http://www.webmd.com/hw-popup/carbon-monoxide-poisoning-8272,"[False, 'NA']"
